Status,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
2 Closed,2020-04-26,1800994063,Data Scientist (m/f/d),Cosmonauts & Kings,False,"Berlin, DE",Entry level,Marketing & Advertising | Online Media | Internet,Full-time,Writing/Editing,29 applicants,2020-04-26 21:08:29.135957,Posted 1 day ago,2020-04-27 21:08:29.135957,2020-04-27
2 Closed,2020-04-26,1814898174,Scienziato Data Science,Meritocracy.is,False,"Berlino, Germania",Associate,Internet | Financial Services,Full-time,Information Technology,67 applicants,2020-04-26 16:32:36.278834,Posted 2 weeks ago,2020-05-10 16:32:36.278834,2020-05-10
2 Closed,2020-04-26,1804704641,Senior Software Engineer / Sr. Data Engineer,TomTom,False,"Berlin, DE",--missing--,Automotive | Consumer Electronics | Information Technology & Services,Full-time,Engineering | Information Technology,40 applicants,2020-04-26 16:32:36.274834,Posted 2 weeks ago,2020-05-10 16:32:36.274834,2020-05-10
2 Closed,2020-04-26,1800977626,Data Scientist,hundred,False,"Berlin, DE",Associate,Pharmaceuticals,Full-time,Engineering,25 applicants,2020-04-26 21:08:29.119957,Posted 1 day ago,2020-04-27 21:08:29.119957,2020-04-27
2 Closed,2020-04-27,1826808983,Data Scientist (m/f/d),Cosmonauts and Kings GmbH,False,"Berlin, DE",Entry level,Marketing & Advertising | Online Media | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-27 21:08:29.143957,Posted 16 hours ago,2020-04-27 21:08:29.143957,2020-04-27
2 Closed,2020-04-27,1808107843,Data Scientist (m/f/div),PubNative,False,"Berlin, DE",Associate,Information Technology & Services,Full-time,Engineering,Be among the first 25 applicants,2020-04-27 21:08:29.115957,Posted 6 hours ago,2020-04-27 21:08:29.115957,2020-04-27
2 Closed,2020-04-29,1822893024,Senior Data Scientist for Radiology (m/f/d),Bayer,False,"Berlin, DE",Mid-Senior level,Chemicals | Pharmaceuticals | Biotechnology,Full-time,Information Technology,Be among the first 25 applicants,2020-04-29 20:17:37.246849,Posted 6 hours ago,2020-04-29 20:17:37.246849,2020-04-29
2 Closed,2020-04-29,1839694156,Data Scientist - Machine Learning Engineer (m/f/d),LDB Analytics Services GmbH,False,"Berlin, DE",Entry level,Information Technology & Services | Industrial Automation | Computer Software,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-29 20:17:37.210851,Posted 4 hours ago,2020-04-29 20:17:37.210851,2020-04-29
2 Closed,2020-05-01,1828261932,"Data Engineer, Amazon Music",Amazon,False,"Berlin, DE",--missing--,Computer Software | Information Technology & Services | Internet,Full-time,Information Technology,26 applicants,2020-05-01 10:53:28.776127,Posted 3 days ago,2020-05-04 10:53:28.776127,2020-05-04
2 Closed,2020-05-03,1793232288,(Senior) Data Scientist (m/f/x) - SaaS Venture,BCG Digital Ventures,False,"Berlin Area, Germany",Mid-Senior level,Internet | Construction,Full-time,Engineering,94 applicants,2020-05-03 16:32:36.270834,Posted 1 week ago,2020-05-10 16:32:36.270834,2020-05-10
2 Closed,2020-05-04,1830400399,Data Scientist (m/f/x) - IoT & Industry 4.0 Venture,BCG Digital Ventures,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-05-04 10:53:28.780126,Posted 13 hours ago,2020-05-04 10:53:28.780126,2020-05-04
2 Closed,2020-05-10,1819506211,Data Scientist,Codepan GmbH,False,"Berlin, DE",Entry level,Information Technology & Services,Full-time,Information Technology,Be among the first 25 applicants,2020-05-10 16:32:36.278834,Posted 18 hours ago,2020-05-10 16:32:36.278834,2020-05-10
2 Closed,2020-03-31,1796661514,(Senior) Data Scientist / Machine Learning Expert (w/m/d),Hypoport SE,True,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-31 17:07:26.320189,Posted 3 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-01,1790008830,(Senior) Data Scientist / Machine Learning Expert (w/m/d),EUROPACE AG,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-01 20:17:37.242849,Posted 4 weeks ago,2020-04-29 20:17:37.242849,2020-04-29
2 Closed,2020-04-07,1802852613,"45516: Computer scientist, Data scientist, Mathematician or 
similar - Research in the field of software architectures or system 
architectures",German Aerospace Academy,True,"Berlin, DE",Associate,Computer Software | Research | Mechanical Or Industrial Engineering,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-07 17:07:26.320189,Posted 2 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-08,1803878682,Softwareentwickler - Data Scientist (w/m/d),eagle eye technologies,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-08 09:17:26.834157,Posted 2 weeks ago,2020-04-22 09:17:26.834157,2020-04-22
2 Closed,2020-04-14,1813212245,Senior Data Scientist,tayfunRecruitment,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-14 17:07:26.320189,Posted 1 week ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-15,1811846543,"Data Scientist - Data Engineer (w/m/d) - IT, Datenbankentwicklung / BI",Mediengruppe RTL Deutschland,True,"Berlin, DE",Entry level,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-15 09:17:26.830157,Posted 1 week ago,2020-04-22 09:17:26.830157,2020-04-22
2 Closed,2020-04-20,1829687642,Senior Data Scientist,tayfunRecruitment,True,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-20 17:07:26.320189,Posted 1 day ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-21,1829449549,(Senior) Data Scientist / Machine Learning Expert (w/m/d),Hypoport SE,True,"Berlin, DE",Associate,Information Technology & Services | Internet | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-04-21 09:17:26.806156,Posted 1 day ago,2020-04-22 09:17:26.806156,2020-04-22
2 Closed,2020-05-07,1838137317,Data Scientist,Mediengruppe RTL,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-05-07 18:41:44.222271,Posted 9 hours ago,2020-05-07 18:41:44.222271,2020-05-07
1 Applied,2020-04-10,1808361049,"Senior Research Engineer, Machine Learning",SoundHound Inc.,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-10 13:01:37.053920,Posted 2 weeks ago,2020-04-24 13:01:37.053920,2020-04-24
1 Applied,2020-04-14,1819486143,Software Engineer / Data Scientist,Audatic,False,"Berlin Area, Germany",Associate,Computer Software,Full-time,Engineering | Information Technology,83 applicants,2020-04-14 17:21:06.609570,Posted 1 week ago,2020-04-21 17:21:06.609570,2020-04-21
1 Applied,2020-04-16,1802566543,Data Scientist (m/f/d),Körber Digital,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,40 applicants,2020-04-16 18:28:57.531123,Posted 3 weeks ago,2020-05-07 18:28:57.531123,2020-05-07
1 Applied,2020-04-21,1820184479,Machine Learning Applied Scientist,Amazon,False,"Berlin, DE",--missing--,Computer Software | Information Technology & Services | Internet,Full-time,Research | Science | Engineering,64 applicants,2020-04-21 18:49:49.721904,Posted 2 weeks ago,2020-05-05 18:49:49.721904,2020-05-05
1 Applied,2020-04-28,1831744080,Data Scientist - Amazon Music,Amazon,False,"Berlin, DE",--missing--,Computer Software | Information Technology & Services | Internet,Full-time,Engineering | Information Technology,42 applicants,2020-04-28 18:49:49.721904,Posted 1 week ago,2020-05-05 18:49:49.721904,2020-05-05
1 Applied,2020-05-02,1804998005,Machine Learning Engineer - Payments,Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,44 applicants,2020-05-02 18:50:42.238657,Posted 3 days ago,2020-05-05 18:50:42.238657,2020-05-05
1 Applied,2020-05-05,1822853024,Machine Learning Engineer - Payments,Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,28 applicants,2020-05-05 18:50:42.238657,Posted 16 hours ago,2020-05-05 18:50:42.238657,2020-05-05
1 Applied,2020-05-07,1830782392,Senior Data Scientist,Client Server,False,"Berlin, DE",Mid-Senior level,Computer Software | Information Technology & Services,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-05-07 18:41:33.134331,Posted 6 hours ago,2020-05-07 18:41:33.134331,2020-05-07
1 Applied,2020-05-07,1849671387,Senior Data Scientist,Client Server Limited,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Automotive,Full-time,Other,Be among the first 25 applicants,2020-05-07 17:39:29.610939,Posted 5 hours ago,2020-05-07 17:39:29.610939,2020-05-07
1 Applied,2020-05-07,1845711809,Senior Data Scientist (m/w/d),Enpal,False,"Berlin, DE",Associate,Information Technology & Services | Internet | Management Consulting,Full-time,Other,Be among the first 25 applicants,2020-05-07 17:24:11.852922,Posted 4 hours ago,2020-05-07 17:24:11.852922,2020-05-07
1 Applied,2020-05-02,1827906720,Research Engineer (Machine Learning) - Fashion Recommendations,Zalando SE,True,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-05-02 18:50:42.238657,Posted 3 days ago,2020-05-05 18:50:42.238657,2020-05-05
0 Ignored,2020-04-07,1738845878,Data Scientist,Alldus,False,"Berlin Area, Germany",Mid-Senior level,Staffing & Recruiting,Full-time,Science,Over 200 applicants,2020-04-07 19:07:21.966825,Posted 4 weeks ago,2020-05-05 19:07:21.966825,2020-05-05
0 Ignored,2020-04-14,1731078444,Data Scientist,Big Cloud,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services | Computer Games | Hospital & Health Care,Full-time,Engineering | Information Technology,Over 200 applicants,2020-04-14 19:07:21.966825,Posted 3 weeks ago,2020-05-05 19:07:21.966825,2020-05-05
0 Ignored,2020-04-20,1776820294,Deep Learning Software Engineer,Audatic,False,"Berlin Area, Germany",Associate,Computer Software | Medical Device,Full-time,Engineering | Information Technology,114 applicants,2020-04-20 17:10:46.323450,Posted 1 day ago,2020-04-21 17:10:46.323450,2020-04-21
0 Ignored,2020-04-21,1813654561,Senior Data Scientist (m/f/d) for established medtech company,Glocomms,False,"Berlin, DE",Mid-Senior level,"Biotechnology | Health, Wellness & Fitness | Research",Full-time,Analyst | Engineering | Management,105 applicants,2020-04-21 19:07:21.966825,Posted 2 weeks ago,2020-05-05 19:07:21.966825,2020-05-05
0 Ignored,2020-04-21,1803501317,Senior Machine Learning Specialist,Glocomms,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services | Automotive | Hospital & Health Care,Full-time,Information Technology | Research | Project Management,96 applicants,2020-04-21 19:07:21.966825,Posted 2 weeks ago,2020-05-05 19:07:21.966825,2020-05-05
0 Ignored,2020-05-03,1664085942,Machine Learning Engineer,Big Cloud,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services | Medical Practice | Hospital & Health Care,Full-time,Information Technology | Engineering | Health Care Provider,Over 200 applicants,2020-05-03 19:07:21.966825,Posted 2 days ago,2020-05-05 19:07:21.966825,2020-05-05
0 Ignored,2020-05-04,1801697885,Data Analyst,Harnham,False,"Berlin, Berlin, Germany",Mid-Senior level,Information Technology & Services | Management Consulting | Information Services,Full-time,Marketing | Analyst | Consulting,Over 200 applicants,2020-05-04 19:07:21.966825,Posted 1 day ago,2020-05-05 19:07:21.966825,2020-05-05
